236,187,154,298,349,162,144,244
124,3,207,287,80,127,144,169
164,112,150,81,192,185,306,320
273,56,249,432,340,321,289,190
280,105,208,186,170,261,215,335
170,170,182,296,59,236,133,147
145,163,174,204,260,153,207,125
174,178,18,266,184,182,190,211
228,207,361,201,245,230,409,3
341,452,279,265,307,244,196,250
16,19,148,226,252,181,197,184
357,326,359,403,183,548,411,580
494,417,558,395,131,144,219,259
294,210,224,196,218,258,234,167
208,138,186,219,323,365,374,538
329,293,207,297,274,256,283,186
178,374,225,394,207,590,243,270
267,446,370,299,424,242,428,303
286,288,311,474,347,230,229,232
296,231,347,230,313,336,266,413
360,377,256,202,235,289,289,253
369,234,257,266,298,287,263,405
387,318,313,374,289,468,252,187
136,217,232,210,228,148,121,232
186,142,194,292,159,177,211,168
182,205,317,194,98,170,145,150
117,333,218,296,202,193,192,299
295,249,195,172,107,145,197,209
215,310,336,405,155,169,247,193
107,145,190,91,208,341,177,212
227,278,242,585,323,199,152,230
