"2015-07-12","11740923","232"
"2015-07-13","11740923","210"
"2015-07-14","11740923","228"
"2015-07-15","11740923","148"
"2015-07-16","11740923","121"
"2015-07-17","11740923","232"
"2015-07-18","11740923","186"
"2015-07-19","11740923","142"
"2015-07-20","11740923","194"
"2015-07-21","11740923","292"
"2015-07-22","11740923","159"
"2015-07-23","11740923","177"
"2015-07-24","11740923","211"
"2015-07-25","11740923","168"
"2015-07-26","11740923","182"
"2015-07-27","11740923","205"
"2015-07-28","11740923","317"
"2015-07-29","11740923","194"
"2015-07-30","11740923","98"
"2015-07-31","11740923","170"
"2015-08-01","11740923","145"
"2015-08-02","11740923","150"
"2015-08-03","11740923","117"
"2015-08-04","11740923","333"
"2015-08-05","11740923","218"
"2015-08-06","11740923","296"
"2015-08-07","11740923","202"
"2015-08-08","11740923","193"
"2015-08-09","11740923","192"
"2015-08-10","11740923","299"
"2015-08-11","11740923","295"
"2015-08-12","11740923","249"
"2015-08-13","11740923","195"
"2015-08-14","11740923","172"
"2015-08-15","11740923","107"
"2015-08-16","11740923","145"
"2015-08-17","11740923","197"
"2015-08-18","11740923","209"
"2015-08-19","11740923","215"
"2015-08-20","11740923","310"
"2015-08-21","11740923","336"
"2015-08-22","11740923","405"
"2015-08-23","11740923","155"
"2015-08-24","11740923","169"
"2015-08-25","11740923","247"
"2015-08-26","11740923","193"
"2015-08-27","11740923","107"
"2015-08-28","11740923","145"
"2015-08-29","11740923","190"
"2015-08-30","11740923","91"
"2015-08-31","11740923","208"
"2015-09-01","11740923","341"
"2015-09-02","11740923","177"
"2015-09-03","11740923","212"
"2015-09-04","11740923","227"
"2015-09-05","11740923","278"
"2015-09-06","11740923","242"
"2015-09-08","11740923","585"
"2015-09-09","11740923","323"
"2015-09-10","11740923","199"
"2015-09-11","11740923","152"
"2015-09-12","11740923","230"
"2015-09-13","11740923","212"
"2015-09-14","11740923","219"
