84,90,91,95,99,55,40,63
69,62,57,124,44,45,24,40
64,53,176,52,49,46,47,84
92,15,75,45,49,27,55,41
75,45,47,50,64,74,58,76
76,150,92,111,26,176,100,116
96,145,119,118,222,108,44,47
54,80,59,116,62,36,50,56
76,68,122,64,51,62,88,58
100,60,61,53,62,59,148,55
54,65,56,64,65,93,47,76
80,104,111,63,218,147,206,141
189,281,29,62,55,73,84,57
84,91,208,234,223,189,153,313
62,43,46,113,89,71,111,77
81,45,49,68,65,108,63,44
56,50,40,46,102,64,64,32
64,60,73,96,71,56,59,67
69,81,89,59,63,52,45,65
83,105,45,101,148,124,151,135
161,137,64,24,52,59,84,102
58,64,57,48,55,86,81,253
194,190,65,147,176,101,46,52
62,75,102,99,68,124,92,119
109,128,177,90,54,60,52,58
70,89,68,56,81,62,66,54
145,50,57,49,55,56,80,90
52,80,52,90,88,81,99,59
39,50,52,70,70,69,49,60
42,45,48,81,89,73,61,73
75,75,140,118,59,63,61,67
81,0,0,0,0,0,0,0
